Date,Tag,Commit,ROM,Preset,CPU,MIPS,Notes,StdDev,Samples,RunMedians
2025-09-23,2.0.0,d9ad3ae70,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1001.27,,31.41,101,993.0|1013.2|1001.3
2025-09-23,2.0.0,d9ad3ae70,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,337.74,,16.18,68,348.5|337.7|336.9
2025-09-23,2.0.0,d9ad3ae70,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,599.70,,11.89,89,599.7|596.2|600.6
2025-09-23,2.0.0,d9ad3ae70,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,230.78,,6.59,67,229.7|230.8|232.5
2025-10-23,2.0.9,cae361c74,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1010.00,,23.25,102,1010.0|1007.6|1010.1
2025-10-23,2.0.9,cae361c74,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,353.69,,14.50,70,351.0|353.7|360.4
2025-10-23,2.0.9,cae361c74,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,598.70,,13.31,89,600.2|589.8|598.7
2025-10-23,2.0.9,cae361c74,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,241.96,,5.95,69,242.0|240.2|242.3
2025-11-11,2.0.12,9d6c4f868,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1013.21,,30.03,104,1013.2|1017.1|1009.0
2025-11-11,2.0.12,9d6c4f868,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,343.53,,15.07,68,346.5|339.3|343.5
2025-11-11,2.0.12,9d6c4f868,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,601.08,,32.21,88,603.8|601.1|594.8
2025-11-11,2.0.12,9d6c4f868,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,240.70,,6.56,69,244.3|238.6|240.7
2025-12-16,2.0.14,b29d68be9,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1017.23,,26.99,103,1017.2|1011.3|1018.7
2025-12-16,2.0.14,b29d68be9,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,353.87,,13.46,69,349.2|361.0|353.9
2025-12-16,2.0.14,b29d68be9,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,602.36,,30.54,89,599.2|603.1|602.4
2025-12-16,2.0.14,b29d68be9,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,241.52,,7.25,69,241.5|243.5|236.5
2025-12-27,2.1.0,268bbd820,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1017.61,,17.44,104,1018.0|1017.2|1017.6
2025-12-27,2.1.0,268bbd820,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,340.81,,13.13,68,335.7|340.8|341.2
2025-12-27,2.1.0,268bbd820,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,600.98,,10.31,90,599.2|604.7|601.0
2025-12-27,2.1.0,268bbd820,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,234.83,,5.55,66,231.4|234.8|236.1
2026-02-24,2.1.4,da8b3d327,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1016.16,,16.48,105,1018.4|1016.2|1007.7
2026-02-24,2.1.4,da8b3d327,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,350.49,,15.29,68,352.6|345.1|350.5
2026-02-24,2.1.4,da8b3d327,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,605.45,,8.49,90,605.7|605.4|598.7
2026-02-24,2.1.4,da8b3d327,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,237.97,,7.13,70,238.0|244.0|232.3
2026-03-21,2.2.2,8bb6b4515,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1012.06,,36.38,104,1012.1|1014.9|1011.1
2026-03-21,2.2.2,8bb6b4515,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,344.73,,14.27,68,346.5|344.7|344.2
2026-03-21,2.2.2,8bb6b4515,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,598.92,,11.41,90,600.6|597.9|598.9
